backend,condition,paired_comparisons,mean_corrected_token_delta,median_corrected_token_delta,mean_corrected_token_delta_pct,median_corrected_token_delta_pct,token_higher_pairs,mean_files_opened_delta,median_files_opened_delta,mean_exploration_efficiency_delta,median_exploration_efficiency_delta,mean_runtime_delta_seconds,mean_total_token_delta_including_cache,mean_validation_command_delta,mean_failed_validation_command_delta,mean_changed_file_delta
Custom repos,Naming,30,18624.9,10556.0,0.4843,0.1835,21,-0.4,0.0,-0.0175,0.0,35.2,314522.5,1.167,0.9,
Custom repos,Type hints,30,18241.5,16162.5,0.3368,0.2218,22,-0.3,0.0,0.0138,0.0,-15.6,43990.8,0.233,0.033,
Custom repos,Comments/docstrings,30,16320.3,13005.5,0.3384,0.2139,20,-0.3,0.0,0.0232,0.0,-22.3,41753.9,0.267,-0.2,
Custom repos,Remove tests,30,4988.6,4219.0,0.2679,0.0676,16,-0.133,0.0,-0.1389,-0.0917,-19.1,-66520.7,0.0,-0.167,
SWE-bench,Naming,30,304500.7,220810.0,0.7159,0.5768,25,0.3,0.0,-0.0513,0.0,,,,,3.733
SWE-bench,Type hints,30,-28337.0,-29116.0,0.0399,-0.059,10,0.033,0.0,0.0115,0.0,,,,,1.333
SWE-bench,Comments/docstrings,33,160468.0,79840.0,0.3504,0.2076,27,0.333,0.0,-0.0496,0.0,,,,,1.273
SWE-bench,Remove tests,32,53561.6,58239.5,0.1708,0.1358,20,0.375,0.0,-0.1918,-0.1095,,,,,1.75
